name_of_drug,use_case_for_drug,effectiveness_rating,number_of_times_prescribed,positive,negative,neutral,compound,base_score
Divalproex sodium,Bipolar Disorde,1,79,0.17,0.23,0.6,-0.0516,6.913476131963401
Prevpac,Helicobacter Pylori Infection,8,22,0.091,0.05,0.859,0.3804,7.94042769749102
Implanon,Birth Control,7,7,0.073,0.103,0.824,-0.6581,3.14878389340544
Gefitinib,Non-Small Cell Lung Cance,10,0,0.0,0.28,0.72,-0.8658,6.109306553878857
Vilazodone,Depression,4,7,0.135,0.122,0.743,0.3484,6.207302708748353
Nexplanon,Birth Control,7,3,0.146,0.111,0.743,0.7477,6.691877439202008
Lorazepam,Anxiety,10,28,0.106,0.09,0.804,0.412,8.7151200080925
Allantoin / camphor / phenol,Herpes Simplex,8,9,0.19,0.0,0.81,0.8372,7.828314657173991
Klonopin,Panic Disorde,9,19,0.075,0.268,0.657,-0.802,6.245772451546388
Azithromycin,Tonsillitis/Pharyngitis,9,34,0.0,0.0,1.0,0.0,8.682416473696875
Acetaminophen / oxycodone,Chronic Pain,9,77,0.113,0.105,0.782,0.1189,7.693988918658725
Aluminum chloride hexahydrate,Hyperhidrosis,10,28,0.188,0.025,0.787,0.8802,8.7151200080925
Reclipsen,Birth Control,6,2,0.06,0.15,0.79,-0.7002,5.406917687876335
Chantix,Smoking Cessation,10,26,0.0,0.0,1.0,0.0,6.653815670753763
Saphris,Schizophrenia,8,23,0.099,0.028,0.873,0.6988,7.331694342495978
Acyclovir,Herpes Simplex,6,24,0.063,0.149,0.788,-0.7075,3.516651104860983
Lorazepam,Anxiety,9,28,0.138,0.0,0.862,0.6486,8.811472745889803
Etonogestrel,Birth Control,3,1,0.079,0.103,0.818,-0.3025,7.049146669046808
OxyContin,Pain,10,15,0.053,0.0,0.947,0.2952,8.482883456649951
Dicyclomine,Irritable Bowel Syndrome,9,8,0.0,0.307,0.693,-0.9726,7.839952234736723
Methadone,Chronic Pain,9,41,0.024,0.216,0.76,-0.9808,8.839215364127986
Lorcaserin,Weight Loss,10,129,0.225,0.018,0.757,0.9678,8.735985510612334
Metronidazole,Dental Abscess,7,24,0.165,0.147,0.688,-0.2118,4.062896560371971
Atorvastatin,High Cholesterol,8,5,0.098,0.079,0.823,0.5475,6.124057251494149
Butrans,Pain,7,46,0.049,0.232,0.719,-0.9813,5.799018428482205
Nucynta,Pain,9,86,0.107,0.166,0.727,-0.8958,8.135154816773712
Avapro,High Blood Pressure,9,61,0.06,0.057,0.883,0.0258,7.980861908628964
Acetaminophen / hydrocodone,Pain,10,2,0.0,0.216,0.784,-0.5106,8.074493292790843
Saphris,Bipolar Disorde,1,5,0.062,0.125,0.813,-0.3182,4.884977122534999
Viberzi,Irritable Bowel Syndrome,10,23,0.105,0.024,0.871,0.9052,8.215482906027418
Ativan,Anxiety,9,99,0.097,0.08,0.823,0.2247,7.602357260334827
Trulance,Chronic Idiopathic Constipation,10,29,0.14,0.081,0.779,0.3182,8.469379704137364
Ethinyl estradiol / etonogestrel,Birth Control,10,15,0.083,0.093,0.824,-0.1893,8.482883456649951
Pregabalin,Neuropathic Pain,7,78,0.032,0.187,0.781,-0.6761,6.4914026350283205
Etonogestrel,Birth Control,10,3,0.071,0.146,0.783,-0.8226,8.745991303284766
Xulane,Birth Control,5,2,0.02,0.079,0.901,-0.6918,6.562017771753732
Terconazole,Vaginal Yeast Infection,7,15,0.03,0.018,0.951,0.1486,6.338505519118186
Miconazole,Vaginal Yeast Infection,1,6,0.054,0.075,0.871,-0.5906,3.1839555369340493
Fentanyl,Pain,9,31,0.154,0.041,0.805,0.8467,6.361917241451971
Sanctura,Overactive Bladde,9,15,0.081,0.084,0.835,0.1999,8.580480617777244
Bupropion,Depression,10,3,0.296,0.148,0.556,0.6187,8.745991303284766
Percocet,Pain,10,21,0.286,0.0,0.714,0.875,8.233307958262657
Montelukast,"Asthma, Maintenance",3,36,0.154,0.071,0.776,0.7411,7.9508275815853615
Prozac,Depression,3,25,0.032,0.245,0.723,-0.9617,6.369033588059898
Contrave,Weight Loss,9,10,0.053,0.062,0.885,-0.249,8.671579904027597
Cyclobenzaprine,Muscle Spasm,10,16,0.204,0.0,0.796,0.6249,8.709532579215772
Sprintec,Birth Control,6,1,0.222,0.103,0.674,0.855,3.1679462250521717
Aspirin / butalbital / caffeine,Migraine,9,19,0.042,0.068,0.889,-0.335,6.245772451546388
Buspirone,Anxiety,1,11,0.068,0.055,0.877,0.1027,5.433997586477339
Metformin,Polycystic Ovary Syndrome,5,19,0.173,0.016,0.811,0.9688,3.8425829583153654
Valium,Muscle Spasm,10,132,0.073,0.097,0.83,-0.0544,6.11157737180049
Belviq XR,Weight Loss,10,11,0.031,0.095,0.875,-0.8402,7.544492890288928
Nicotine,Smoking Cessation,7,12,0.167,0.018,0.814,0.9325,2.8489295685288183
Mononessa,Birth Control,10,16,0.064,0.121,0.815,-0.7343,8.709532579215772
Thyroid desiccated,Underactive Thyroid,9,76,0.038,0.152,0.81,-0.9331,6.5010740608096516
Gabapentin,Anxiety,10,72,0.098,0.26,0.642,-0.7003,8.720363418607702
Tamsulosin,Urinary Tract Stones,10,31,0.087,0.146,0.767,-0.555,6.245137350785216
Allegra,Urticaria,10,64,0.093,0.0,0.907,0.5719,7.020941076931112
BuSpar,9</span> users found this comment helpful.,5,9,0.11,0.221,0.669,-0.4854,7.282126707776135
Yaz,Birth Control,2,3,0.024,0.146,0.83,-0.9418,8.311305347103012
Lithobid,Bipolar Disorde,2,27,0.0,0.047,0.953,-0.296,7.411628106929648
Soma,Muscle Spasm,10,61,0.032,0.225,0.744,-0.9784,7.879508924206853
Ethinyl estradiol / levonorgestrel,Birth Control,9,8,0.258,0.105,0.637,0.9476,7.839952234736723
Citalopram,Anxiety and Stress,6,14,0.103,0.117,0.78,0.431,4.258717606691409
Propafenone,Atrial Fibrillation,9,58,0.017,0.019,0.964,-0.0516,7.4983109978400275
Paroxetine,Major Depressive Disorde,5,9,0.229,0.075,0.696,0.9161,7.282126707776135
Skyla,Birth Control,10,4,0.118,0.157,0.725,-0.1489,8.358950719271757
Ropinirole,Restless Legs Syndrome,8,8,0.016,0.145,0.84,-0.9337,6.785657415594868
Combivir,HIV Infection,10,6,0.272,0.0,0.728,0.8904,6.1731344641759245
Methylphenidate,ADHD,8,22,0.181,0.0,0.819,0.886,7.94042769749102
Anastrozole,Breast Cance,2,36,0.063,0.215,0.722,-0.972,7.183619199166782
Microgestin 1 / 20,Birth Control,10,1,0.146,0.018,0.835,0.8854,6.80968357898411
Quetiapine,Depression,10,36,0.0,0.0,1.0,0.0,7.715255946986692
Imatinib,Chronic Myelogenous Leukemia,10,24,0.056,0.037,0.907,0.6059,6.975487703374523
Liraglutide,"Diabetes, Type 2",9,44,0.044,0.149,0.807,-0.9578,6.228093433727354
Phentermine,Obesity,9,29,0.065,0.029,0.906,0.4201,8.567052428841432
Naproxen,Sciatica,8,17,0.062,0.139,0.799,-0.6546,6.973210899541602
Duloxetine,Depression,10,51,0.107,0.19,0.703,-0.839,6.5114336812428935
Dupixent,Eczema,10,49,0.097,0.032,0.87,0.6597,7.14772434856246
Chantix,Smoking Cessation,10,35,0.153,0.0,0.847,0.4019,8.648336695522234
Sertraline,Depression,10,37,0.092,0.065,0.843,0.548,6.476183149656864
Daliresp,"COPD, Maintenance",6,15,0.0,0.064,0.936,-0.5994,6.010880530854154
Apixaban,Prevention of Thromboembolism in Atrial Fibrillation,7,28,0.066,0.058,0.876,-0.0194,6.650839934428264
Belbuca,Pain,1,14,0.075,0.092,0.834,-0.2298,5.1811107983024085
ProCentra,ADHD,10,2,0.108,0.03,0.861,0.8892,8.074493292790843
Ethinyl estradiol / norethindrone,Birth Control,9,22,0.098,0.038,0.864,0.6864,8.853339021798474
Ethinyl estradiol / norgestimate,Birth Control,1,11,0.053,0.033,0.914,0.0618,5.433997586477339
Atenolol,High Blood Pressure,1,7,0.0,0.121,0.879,-0.9152,3.7845039965740233
Paxil,Panic Disorde,8,21,0.152,0.25,0.598,-0.9449,7.3518843048542895
Azelaic acid,Acne,10,47,0.117,0.077,0.806,0.7472,8.748627336347578
Valacyclovir,Cold Sores,10,13,0.118,0.086,0.796,0.6068,6.256623555456827
Xanax,Panic Disorde,9,23,0.0,0.209,0.791,-0.8934,8.31464585548871
Suboxone,Opiate Dependence,10,8,0.17,0.135,0.695,0.3802,7.737592628105482
MS Contin,Chronic Pain,9,68,0.017,0.147,0.836,-0.9493,7.061882874463996
Desvenlafaxine,Depression,10,13,0.134,0.11,0.755,0.3712,6.256623555456827
"Multivitamin, prenatal",Vitamin/Mineral Supplementation during Pregnancy/Lactation,9,1,0.394,0.0,0.606,0.8439,6.920059185010526
Microgestin Fe 1 / 20,Menstrual Disorders,8,3,0.036,0.145,0.819,-0.8593,7.927925645495847
Acetaminophen / oxycodone,Chronic Pain,9,4,0.1,0.062,0.838,0.6047,8.457255146738312
Ropinirole,Restless Legs Syndrome,10,39,0.194,0.063,0.743,0.8115,7.19431641656822
Nexplanon,Birth Control,2,5,0.134,0.11,0.755,0.7058,6.577285637571317
Microgestin Fe 1 / 20,Birth Control,6,6,0.05,0.119,0.831,-0.775,1.268006985722132
Phentermine,Obesity,10,18,0.042,0.047,0.911,0.128,6.633970466631683
Etonogestrel,Birth Control,9,6,0.153,0.048,0.799,0.9292,6.290834689334499
Levora,Birth Control,10,0,0.193,0.021,0.786,0.9637,6.109306553878857
Monistat 3-Day Combination Pack,Vaginal Yeast Infection,1,1,0.106,0.0,0.894,0.6663,4.319273404069607
Sulfamethoxazole / trimethoprim,Urinary Tract Infection,3,9,0.0,0.064,0.936,-0.4201,8.891926063786732
Bonine,Nausea/Vomiting,8,38,0.0,0.0,1.0,0.0,4.91343358984285
Plan B,Emergency Contraception,9,11,0.029,0.056,0.914,-0.4742,7.648306726574672
Altoprev,"High Cholesterol, Familial Heterozygous",9,40,0.0,0.0,1.0,0.0,8.472801793248562
Remeron,Major Depressive Disorde,9,11,0.095,0.108,0.797,-0.2486,7.648306726574672
Bupropion / naltrexone,Obesity,6,128,0.051,0.062,0.887,-0.1531,5.898301627534237
Sertraline,Anxiety and Stress,9,21,0.055,0.146,0.799,-0.8807,8.332361850351921
Etonogestrel,Birth Control,10,4,0.06,0.087,0.853,-0.0498,8.358950719271757
Lorazepam,Panic Disorde,10,27,0.18,0.181,0.639,0.4458,7.921906947449914
Etonogestrel,Birth Control,5,4,0.121,0.184,0.695,-0.7656,6.916893730093862
Elimite,Scabies,4,6,0.078,0.078,0.844,0.0068,5.862150117482908
Mupirocin,Secondary Cutaneous Bacterial Infections,10,1,0.035,0.132,0.832,-0.7269,6.80968357898411
Macrobid,Prevention of Bladder infection,10,33,0.083,0.14,0.778,-0.7719,7.567549647369478
Linaclotide,Irritable Bowel Syndrome,5,16,0.0,0.133,0.867,-0.8655,7.346189385571479
Botox,Migraine Prevention,7,28,0.109,0.016,0.875,0.9202,6.650839934428264
Ethinyl estradiol / norgestimate,Abnormal Uterine Bleeding,2,4,0.223,0.153,0.623,0.7227,7.890498753651644
Etonogestrel,Birth Control,1,5,0.021,0.227,0.752,-0.9766,4.884977122534999
Doxycycline,Acne,10,19,0.061,0.077,0.862,-0.1779,6.127475169414972
Provera,Amenorrhea,10,67,0.104,0.0,0.896,0.6808,8.197418628238246
Minoxidil,Alopecia,6,15,0.109,0.0,0.891,0.5106,6.010880530854154
Estradiol,Postmenopausal Symptoms,10,57,0.149,0.0,0.851,0.6369,6.26853519358079
Quibron-T,"Asthma, acute",1,2,0.215,0.146,0.64,0.3237,6.1693738810759235
AndroGel,"Hypogonadism, Male",7,34,0.0,0.037,0.963,-0.6346,6.477168574788929
Nexplanon,Birth Control,10,4,0.141,0.038,0.821,0.864,8.358950719271757
Tetrahydrozoline / zinc sulfate,Eye Redness/Itching,9,1,0.21,0.0,0.79,0.8779,6.920059185010526
Imiquimod,Keratosis,8,84,0.137,0.072,0.791,0.6837,7.528817077910332
Viibryd,Depression,5,87,0.085,0.133,0.782,-0.8096,4.816996882570196
Xanax,Anxiety,10,22,0.134,0.228,0.638,-0.7851,8.757200984608478
Vyvanse,Binge Eating Disorde,10,46,0.184,0.2,0.615,-0.0542,8.094008892062753
Ethinyl estradiol / etonogestrel,Birth Control,3,8,0.08,0.156,0.764,-0.8608,7.9731161642796256
Pregabalin,ibromyalgia,4,43,0.05,0.094,0.857,-0.3716,6.522680572340156
Megestrol,Anorexia,10,21,0.207,0.064,0.729,0.7096,8.233307958262657
Scopolamine,Motion Sickness,1,35,0.0,0.091,0.909,-0.836,6.924796462661973
Paroxetine,Generalized Anxiety Disorde,10,20,0.051,0.14,0.809,-0.9069,6.998161370910088
Tramadol,Pain,2,26,0.0,0.0,1.0,0.0,5.991446166933935
Ethinyl estradiol / levonorgestrel,Birth Control,3,0,0.062,0.217,0.721,-0.9776,6.35504055965443
Trintellix,Major Depressive Disorde,3,24,0.0,0.545,0.455,-0.3382,7.213925085041497
Klonopin,Anxiety,10,67,0.132,0.13,0.738,0.2862,8.197418628238246
Suprep Bowel Prep Kit,Bowel Preparation,10,21,0.14,0.064,0.796,0.6486,8.233307958262657
Tazarotene,Acne,10,7,0.148,0.032,0.821,0.963,6.493653305451713
Deplin,Depression,7,6,0.045,0.065,0.891,-0.1726,2.4064166153302886
Bactrim,Acne,10,29,0.351,0.0,0.649,0.9616,8.469379704137364
Toradol,Pain,10,20,0.0,0.327,0.673,-0.9041,6.998161370910088
Sertraline,Bipolar Disorde,10,9,0.0,0.0,1.0,0.0,8.656796740464273
Viagra,Erectile Dysfunction,9,48,0.237,0.0,0.763,0.1406,8.441439660216073
Provera,Abnormal Uterine Bleeding,10,252,0.0,0.044,0.956,-0.4019,6.450605740403768
Hydrocodone,Pain,10,137,0.097,0.25,0.653,-0.9682,7.101348743967713
Vardenafil,Erectile Dysfunction,7,40,0.412,0.0,0.588,0.6369,6.190498156775787
Strattera,ADHD,7,58,0.109,0.081,0.81,0.611,4.754481319264759
Catapres,Alcohol Withdrawal,8,35,0.18,0.027,0.793,0.886,7.818854148514794
Acetaminophen / butalbital / caffeine,Headache,10,0,0.0,0.104,0.896,-0.5719,6.109306553878857
ParaGard,Birth Control,10,5,0.172,0.167,0.661,0.1251,7.170997223562014
Levonorgestrel,Emergency Contraception,10,11,0.108,0.117,0.775,-0.3265,7.544492890288928
Levocetirizine,Urticaria,10,20,0.0,0.19,0.81,-0.6093,6.998161370910088
Polyethylene glycol 3350 with electrolytes,Bowel Preparation,10,3,0.207,0.121,0.672,0.7797,8.745991303284766
Celexa,Anxiety and Stress,9,74,0.093,0.073,0.834,0.7743,7.428628893019347
Blisovi 24 Fe,Birth Control,4,0,0.0,0.045,0.955,-0.6956,5.793133906306418
Methylphenidate,ADHD,10,17,0.0,0.0,1.0,0.0,7.900790082378434
Ethinyl estradiol / etonogestrel,Birth Control,5,8,0.163,0.236,0.602,-0.8854,6.132623614626235
Desogestrel / ethinyl estradiol,Birth Control,4,0,0.0,0.228,0.772,-0.9745,5.793133906306418
Ethinyl estradiol / norethindrone,Birth Control,8,20,0.148,0.14,0.712,0.4311,5.918437868438534
EnteraGam,Irritable Bowel Syndrome,10,15,0.075,0.045,0.88,0.4767,8.482883456649951
Skyla,Birth Control,9,1,0.13,0.086,0.784,0.8591,6.920059185010526
Lutera,Birth Control,8,3,0.02,0.0,0.98,0.296,7.927925645495847
Pantoprazole,GERD,1,87,0.0,0.224,0.776,-0.8899,4.2495484845475096
Hydroxychloroquine,Rheumatoid Arthritis,8,58,0.051,0.099,0.85,-0.8223,6.385730504909782
Trihexyphenidyl,Extrapyramidal Reaction,3,1,0.0,0.115,0.885,-0.3291,7.049146669046808
Ethinyl estradiol / norethindrone,Birth Control,2,1,0.03,0.123,0.846,-0.812,6.169162419744095
Etonogestrel,Birth Control,9,4,0.045,0.086,0.87,-0.5558,8.457255146738312
Tylenol PM,Insomnia,10,29,0.226,0.0,0.774,0.5859,8.469379704137364
Ramelteon,Insomnia,1,0,0.04,0.108,0.852,-0.8439,3.054420106447377
Citalopram,Depression,8,47,0.098,0.048,0.853,0.4019,7.930865919977718
Isotretinoin,Acne,10,1,0.205,0.053,0.742,0.9606,6.80968357898411
Kyleena,Birth Control,10,1,0.226,0.016,0.758,0.9851,6.80968357898411
Paxil,Post Traumatic Stress Disorde,1,30,0.212,0.596,0.192,-0.4588,5.1467046914376215
Exenatide,"Diabetes, Type 2",2,7,0.145,0.189,0.666,-0.3898,5.8076563462187885
Geodon,Bipolar Disorde,1,44,0.042,0.24,0.718,-0.9741,3.0549404643866653
Oxycodone,Pain,10,45,0.0,0.0,1.0,0.0,6.831298989280017
Nasacort,Allergic Rhinitis,1,13,0.171,0.13,0.699,0.6011,3.3477247532480425
Amoxicillin / clavulanate,Sinusitis,4,6,0.066,0.108,0.826,-0.5994,5.862150117482908
Topamax,Migraine Prevention,2,18,0.112,0.131,0.756,-0.4621,5.968740302050179
Votrient,Renal Cell Carcinoma,6,1,0.0,0.286,0.714,-0.5267,3.1679462250521717
Monistat 3-Day Combination Pack,Vaginal Yeast Infection,1,1,0.08,0.111,0.809,-0.5905,4.319273404069607
Rexulti,Major Depressive Disorde,10,44,0.132,0.055,0.814,0.8934,6.109558961391044
Acetaminophen / hydrocodone,Pain,7,40,0.0,0.248,0.752,-0.5106,6.190498156775787
Hydromorphone,Pain,9,14,0.082,0.159,0.758,-0.9377,7.475096634526175
Mononessa,Abnormal Uterine Bleeding,10,26,0.164,0.12,0.716,0.7783,6.653815670753763
Amlodipine,Raynaud's Syndrome,3,51,0.12,0.0,0.88,0.3818,6.753157892897464
Lutera,Abnormal Uterine Bleeding,4,4,0.099,0.096,0.805,-0.1505,8.182756085676182
Celecoxib,Osteoarthritis,10,88,0.102,0.144,0.754,-0.6476,6.11031604227956
Oxybutynin,Urinary Incontinence,1,5,0.0,0.356,0.644,-0.8555,4.884977122534999
Suboxone,Opiate Dependence,10,34,0.1,0.022,0.878,0.8658,8.585381211066728
Doxepin,Insomnia,7,63,0.139,0.1,0.761,0.4058,2.297060044039584
Lurasidone,Bipolar Disorde,6,35,0.243,0.017,0.739,0.9779,6.246702630110371
Ultram,ibromyalgia,1,35,0.063,0.085,0.852,-0.4865,6.924796462661973
Desogestrel / ethinyl estradiol,Birth Control,9,4,0.197,0.06,0.743,0.9494,8.457255146738312
Amitriptyline,Anxiety and Stress,1,10,0.112,0.05,0.838,0.7814,6.8294758571584
Vortioxetine,Depression,10,53,0.0,0.279,0.721,-0.7345,8.664924230348454
Apremilast,Psoriatic Arthritis,10,16,0.0,0.0,1.0,0.0,8.709532579215772
Acetazolamide,Pseudotumor Cerebri,8,6,0.012,0.104,0.884,-0.8674,4.903100820083972
Ethinyl estradiol / norgestimate,Birth Control,10,4,0.098,0.052,0.85,0.4754,8.358950719271757
Nexplanon,Birth Control,1,6,0.202,0.144,0.654,0.9149,3.1839555369340493
Trihexyphenidyl,Parkinson's Disease,7,34,0.0,0.077,0.923,-0.2732,6.477168574788929
Contrave,Weight Loss,9,30,0.201,0.098,0.7,0.968,7.4518668764055755
Desogestrel / ethinyl estradiol,Birth Control,10,28,0.152,0.162,0.685,0.2554,8.7151200080925
Trazodone,Insomnia,8,33,0.092,0.041,0.866,0.4118,6.588905432949381
Monistat 1-Day or Night Combination Pack,Vaginal Yeast Infection,1,1,0.058,0.107,0.836,-0.8016,4.319273404069607
Zyprexa,Bipolar Disorde,8,2,0.15,0.039,0.812,0.8439,7.171574816814388
ParaGard,Birth Control,8,8,0.066,0.076,0.858,-0.5106,6.785657415594868
Cariprazine,Bipolar Disorde,10,21,0.118,0.065,0.817,0.4404,8.233307958262657
Exemestane,Breast Cance,9,11,0.106,0.131,0.762,0.2208,7.648306726574672
Accutane,Acne,9,24,0.103,0.086,0.811,0.6249,7.084225295181232
Hyaluronan,Osteoarthritis,10,76,0.0,0.064,0.936,-0.296,6.386022848390367
Levofloxacin,Urinary Tract Infection,2,40,0.097,0.107,0.796,-0.0516,7.907556528480552
Ethinyl estradiol / norgestimate,Acne,5,0,0.079,0.102,0.818,-0.1032,3.8128660300863055
Singulair,Allergic Rhinitis,9,34,0.072,0.0,0.928,0.3404,8.682416473696875
Prograf,"Organ Transplant, Rejection Prophylaxis",8,22,0.09,0.09,0.82,0.0,7.94042769749102
Modafinil,Depression,10,85,0.078,0.121,0.801,-0.631,8.739669778816722
Atomoxetine,ADHD,1,10,0.015,0.146,0.839,-0.9145,6.8294758571584
Copper,Birth Control,6,4,0.1,0.112,0.788,0.09,5.831127652885081
Loestrin 24 Fe,Birth Control,1,16,0.089,0.17,0.742,-0.923,7.003408356848098
Macrobid,Urinary Tract Infection,5,64,0.092,0.071,0.837,-0.0987,5.1755524562281225
Amitriptyline,Interstitial Cystitis,9,36,0.158,0.097,0.745,0.7263,7.817778680932112
Ezetimibe / simvastatin,High Cholesterol,9,66,0.0,0.11,0.89,-0.5709,8.852988629474675
Fluoxetine,Premenstrual Dysphoric Disorde,1,15,0.156,0.278,0.565,-0.8206,6.71052568386338
Etonogestrel,Birth Control,1,8,0.155,0.108,0.737,0.4215,5.707023638890452
Adipex-P,Obesity,2,7,0.14,0.058,0.801,0.8924,5.8076563462187885
Remicade,Rheumatoid Arthritis,10,64,0.21,0.116,0.674,0.865,7.020941076931112
Bystolic,High Blood Pressure,3,46,0.118,0.021,0.861,0.8074,8.329028880914995
Lurasidone,Bipolar Disorde,3,25,0.229,0.099,0.672,0.9437,6.369033588059898
Wellbutrin XL,Depression,10,73,0.139,0.115,0.746,0.6881,8.455581540503763
Copper,Birth Control,9,11,0.241,0.085,0.674,0.9605,7.648306726574672
Conjugated estrogens,Postmenopausal Symptoms,10,3,0.116,0.0,0.884,0.7965,8.745991303284766
Acidophilus,Vaginal Yeast Infection,9,12,0.132,0.147,0.722,-0.1243,6.471278979163006
LoSeasonique,Birth Control,8,5,0.161,0.065,0.774,0.892,6.124057251494149
Levothyroxine,Underactive Thyroid,3,40,0.121,0.075,0.803,0.5674,8.609534630227817
Soma,Muscle Spasm,10,99,0.083,0.17,0.747,-0.743,7.498179423404566
Ethinyl estradiol / norethindrone,Birth Control,4,2,0.049,0.111,0.84,-0.8947,7.884224520147357
Etonogestrel,Birth Control,5,10,0.099,0.156,0.745,-0.6523,7.181786620054445
Dexbrompheniramine / pseudoephedrine,Allergic Rhinitis,10,21,0.161,0.0,0.839,0.6588,8.233307958262657
Ethinyl estradiol / levonorgestrel,Birth Control,8,1,0.0,0.0,1.0,0.0,5.691791949528471
Nasacort,Allergic Rhinitis,1,6,0.0,0.139,0.861,-0.5255,3.1839555369340493
Tramadol,Not Listed / Othe,5,1,0.0,0.0,1.0,0.0,4.878171957939991
Prednisone,Cluster Headaches,10,12,0.0,0.0,1.0,0.0,6.355865537958907
Meloxicam,Inflammatory Conditions,1,44,0.103,0.133,0.764,-0.3862,3.0549404643866653
Meloxicam,ibromyalgia,10,82,0.104,0.077,0.819,0.4019,6.189839516076825
Alli,Obesity,1,18,0.049,0.136,0.814,-0.9236,4.027554327116556
Mirabegron,Urinary Incontinence,6,35,0.071,0.0,0.929,0.4927,6.246702630110371
Carvedilol,Heart Failure,10,80,0.241,0.107,0.651,0.4767,7.6928031082515345
Ethinyl estradiol / norgestimate,Birth Control,6,0,0.152,0.108,0.74,0.3415,0.899075571349414
Tri-Luma,Melasma,10,26,0.065,0.028,0.907,0.5082,6.653815670753763
Fluoxetine,Depression,2,13,0.174,0.13,0.696,0.6454,5.533218685563548
Topamax,Seizure Prevention,6,33,0.073,0.165,0.762,-0.9331,4.5986864720965
Clobex,Psoriasis,5,39,0.032,0.066,0.903,-0.4118,5.413708677844019
Depo-Provera,Abnormal Uterine Bleeding,1,2,0.104,0.198,0.698,-0.8635,6.1693738810759235
Pregabalin,ibromyalgia,10,41,0.099,0.114,0.788,-0.2842,8.743005258264253
Tioconazole,Vaginal Yeast Infection,1,4,0.025,0.071,0.904,-0.6246,6.548256302136768
Propranolol,Anxiety,4,3,0.041,0.12,0.839,-0.8957,8.58780655657903
Isotretinoin,Acne,10,26,0.152,0.07,0.778,0.877,6.653815670753763
Ondansetron,Nausea/Vomiting,10,3,0.178,0.085,0.738,0.5267,8.745991303284766
Sulfamethoxazole / trimethoprim,Bacterial Skin Infection,8,38,0.125,0.0,0.875,0.8356,4.91343358984285
Afrin,Nasal Congestion,1,10,0.039,0.152,0.809,-0.7943,6.8294758571584
Generess Fe,Birth Control,9,7,0.0,0.195,0.805,-0.6514,6.607445106972985
Suprep Bowel Prep Kit,Bowel Preparation,2,15,0.04,0.153,0.807,-0.9169,8.025552889864404
Junel Fe 1 / 20,Birth Control,2,6,0.031,0.309,0.66,-0.9919,5.435788645482299
Chantix,Smoking Cessation,5,9,0.057,0.097,0.846,-0.4017,7.282126707776135
Zoloft,Anxiety and Stress,9,57,0.153,0.087,0.76,0.8014,6.385021479107793
Errin,Birth Control,1,5,0.069,0.085,0.846,0.2551,4.884977122534999
Methadone,Chronic Pain,10,35,0.015,0.119,0.866,-0.9041,8.648336695522234
Dienogest / estradiol,Birth Control,10,5,0.123,0.107,0.77,0.3279,7.170997223562014
Adalimumab,Ulcerative Colitis,1,28,0.0,0.107,0.893,-0.9277,7.010569452786273
Bisacodyl,Constipation,9,11,0.097,0.107,0.796,-0.2023,7.648306726574672
Tretinoin,Acne,7,3,0.097,0.0,0.903,0.6221,6.691877439202008
Sprintec,Birth Control,7,28,0.107,0.08,0.813,0.5739,6.650839934428264
Lurasidone,Bipolar Disorde,9,94,0.107,0.213,0.68,-0.947,6.276200625767022
Zyprexa,Bipolar Disorde,1,11,0.035,0.0,0.965,0.2382,5.433997586477339
Levofloxacin,Bronchitis,9,21,0.161,0.069,0.77,0.7645,8.332361850351921
Lexapro,Depression,9,23,0.124,0.094,0.782,0.3406,8.31464585548871
Valacyclovir,Cold Sores,8,1,0.08,0.148,0.772,-0.7474,5.691791949528471
Estarylla,Birth Control,10,25,0.145,0.103,0.752,0.8057,6.1234614690910565
Azithromycin,Sinusitis,9,42,0.091,0.071,0.839,0.5135,8.154949057424771
Pamelor,Neuralgia,8,54,0.094,0.0,0.906,0.7269,7.723609423536772
Suprep Bowel Prep Kit,Bowel Preparation,6,8,0.059,0.086,0.855,-0.1998,4.878733980113638
Imitrex Statdose,Migraine,10,5,0.804,0.0,0.196,0.6249,7.170997223562014
Citalopram,Anxiety and Stress,5,31,0.112,0.168,0.72,-0.5423,4.031760461948532
Zoloft,Major Depressive Disorde,8,12,0.216,0.088,0.697,0.7527,5.1337406888149335
Cetirizine,Allergic Rhinitis,8,46,0.08,0.1,0.82,-0.1154,7.1937842680602575
Venlafaxine,Anxiety,9,114,0.048,0.179,0.772,-0.9551,6.805794703810943
Saxenda,Weight Loss,2,8,0.0,0.241,0.759,-0.9698,7.2083179926020895
Atropine / hyoscyamine / phenobarbital / scopolamine,Irritable Bowel Syndrome,10,20,0.133,0.125,0.743,0.1531,6.998161370910088
Dextroamphetamine,ADHD,10,46,0.05,0.107,0.843,-0.5106,8.094008892062753
Levonorgestrel,Emergency Contraception,8,12,0.063,0.128,0.809,-0.8936,5.1337406888149335
Zofran ODT,Gastroenteritis,10,13,0.0,0.166,0.834,-0.4927,6.256623555456827
Sodium hyaluronate,Osteoarthritis,10,64,0.257,0.0,0.743,0.9151,7.020941076931112
Colcrys,"Gout, Acute",10,17,0.0,0.134,0.866,-0.7579,7.900790082378434
Ketoconazole,Dermatophytosis,10,6,0.0,0.0,1.0,0.0,6.1731344641759245
Depo-Provera,Birth Control,3,13,0.038,0.15,0.812,-0.9286,6.500749692956897
Sertraline,Panic Disorde,10,57,0.203,0.101,0.696,0.9158,6.26853519358079
